elevation,aspect,slope,horizontal_distance_to_hydrology,vertical_distance_to_hydrology,horizontal_distance_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,horizontal_distance_to_fire_points,wilderness_area,soil_type,cover_type
2144,342,13,0,0,285,192,219,166,541,cache_la_poudre,10,2
2147,348,13,30,3,268,194,217,161,551,cache_la_poudre,10,2
2158,326,22,42,14,323,162,210,186,499,cache_la_poudre,10,2
2170,358,23,60,16,240,177,190,145,552,cache_la_poudre,10,2
2182,347,23,42,17,212,169,195,160,569,cache_la_poudre,10,2
2199,301,23,170,55,421,151,223,210,376,cache_la_poudre,10,2
2204,2,22,108,39,256,184,193,141,524,cache_la_poudre,10,2
2222,352,27,95,39,210,162,182,151,577,cache_la_poudre,10,2
2227,336,26,30,8,108,152,194,175,721,cache_la_poudre,10,2
2236,359,25,120,56,210,174,185,142,573,cache_la_poudre,10,2
2238,7,27,212,69,331,177,175,126,451,cache_la_poudre,10,2
2238,356,25,255,73,391,172,188,147,391,cache_la_poudre,10,2
2239,356,22,277,83,421,180,195,149,361,cache_la_poudre,10,2
2244,343,21,309,98,481,172,202,166,301,cache_la_poudre,10,2
2245,5,24,150,65,242,182,186,134,541,cache_la_poudre,10,2
2248,348,19,30,3,90,181,205,160,962,cache_la_poudre,10,2
2250,320,30,67,43,162,131,197,198,630,cache_la_poudre,10,2
2252,328,29,67,33,150,137,191,187,693,cache_la_poudre,10,2
2259,338,25,95,60,190,158,196,172,600,cache_la_poudre,10,2
2266,7,27,277,93,371,177,176,127,421,cache_la_poudre,10,2
2293,14,21,323,110,418,196,193,128,400,cache_la_poudre,10,2
2293,354,29,134,52,182,158,175,145,794,cache_la_poudre,10,2
2302,16,23,108,43,210,193,184,121,1036,cache_la_poudre,10,2
2314,336,3,258,85,339,213,235,160,607,cache_la_poudre,2,2
2315,315,20,212,104,300,163,219,195,553,cache_la_poudre,2,2
2324,342,17,180,72,240,184,213,167,924,cache_la_poudre,10,2
2325,303,34,134,50,234,107,201,223,1022,cache_la_poudre,10,2
2329,321,22,134,44,234,157,212,192,937,cache_la_poudre,10,2
2336,12,18,210,85,270,199,200,134,874,cache_la_poudre,2,2
2336,348,18,210,84,270,184,208,161,902,cache_la_poudre,2,2
2344,24,13,240,92,300,212,212,134,882,cache_la_poudre,2,2
2344,329,12,240,86,300,190,225,174,911,cache_la_poudre,2,2
2346,301,23,228,44,210,149,223,211,816,cache_la_poudre,10,2
2349,26,6,0,0,424,217,227,146,1063,cache_la_poudre,16,2
2351,15,8,300,95,360,213,223,147,902,cache_la_poudre,2,2
2355,349,24,190,86,283,167,191,157,1068,cache_la_poudre,10,2
2359,28,6,30,-1,552,218,228,146,1292,cache_la_poudre,16,2
2359,354,20,0,0,558,183,202,153,1259,cache_la_poudre,16,2
2361,27,26,309,94,390,199,174,99,997,cache_la_poudre,10,2
2376,33,28,335,108,420,202,167,86,1008,cache_la_poudre,10,2
2377,26,28,268,108,366,194,168,96,1053,cache_la_poudre,10,2
2386,250,16,0,0,691,183,250,204,1441,cache_la_poudre,10,2
2389,22,30,60,30,552,186,161,96,1216,cache_la_poudre,10,2
2391,25,26,283,119,384,196,174,102,1064,cache_la_poudre,10,2
2391,297,36,256,99,295,100,202,230,890,cache_la_poudre,10,2
2394,16,31,60,38,573,177,159,103,1245,cache_la_poudre,10,2
2397,56,22,120,48,552,228,187,81,1177,cache_la_poudre,10,2
2400,269,22,42,14,674,159,242,219,1431,cache_la_poudre,10,2
2406,333,28,67,37,644,146,192,179,1445,cache_la_poudre,10,2
2409,281,30,60,29,824,124,226,234,1523,cache_la_poudre,10,2
2410,323,17,95,45,658,173,220,185,1395,cache_la_poudre,10,2
2411,23,29,90,51,594,189,164,97,1253,cache_la_poudre,10,2
2411,322,8,30,5,390,199,232,173,297,cache_la_poudre,10,2
2416,313,19,124,45,680,164,221,196,1423,cache_la_poudre,10,2
2417,41,26,120,57,594,213,175,83,1233,cache_la_poudre,10,2
2424,13,10,0,0,960,210,219,145,638,cache_la_poudre,10,2
2433,24,28,120,74,636,193,169,99,1290,cache_la_poudre,10,2
2436,49,16,30,9,228,225,204,109,182,cache_la_poudre,10,2
2436,314,25,127,49,830,146,212,202,1392,cache_la_poudre,10,2
2436,316,25,134,44,794,147,210,199,1387,cache_la_poudre,10,2
2437,309,24,134,51,866,148,216,206,1398,cache_la_poudre,10,2
2439,40,16,30,9,1276,220,202,112,808,cache_la_poudre,10,2
2439,246,13,60,13,324,193,249,194,127,cache_la_poudre,10,2
2441,329,29,134,73,711,140,192,185,1510,cache_la_poudre,10,2
2441,333,12,366,153,395,193,225,171,966,cache_la_poudre,11,2
2442,40,13,30,6,170,221,212,124,162,cache_la_poudre,10,2
2446,315,25,150,60,819,145,210,201,1368,cache_la_poudre,10,2
2447,39,19,85,30,256,217,196,107,285,cache_la_poudre,10,2
2447,276,29,124,65,875,131,232,233,1466,cache_la_poudre,10,2
2451,308,16,30,11,201,176,229,193,127,cache_la_poudre,10,2
2454,284,15,30,2,872,176,239,202,552,cache_la_poudre,10,2
2455,113,25,67,27,892,253,204,62,573,cache_la_poudre,10,2
2456,316,26,175,64,789,143,208,200,1345,cache_la_poudre,10,2
2462,297,21,90,29,268,157,228,210,67,cache_la_poudre,10,2
2462,326,14,30,3,150,185,224,178,216,cache_la_poudre,10,2
2463,22,22,180,98,700,200,187,116,1338,cache_la_poudre,10,2
2465,83,8,30,2,778,232,226,127,488,cache_la_poudre,10,2
2465,273,24,90,37,942,148,238,225,618,cache_la_poudre,10,2
2465,275,25,175,85,930,145,236,226,1399,cache_la_poudre,10,2
2466,345,27,212,97,774,159,188,161,1499,cache_la_poudre,10,2
2468,269,27,67,16,912,142,238,230,591,cache_la_poudre,10,2
2469,258,21,30,9,832,167,247,216,553,cache_la_poudre,10,2
2469,317,13,30,6,120,186,229,182,283,cache_la_poudre,10,2
2473,289,20,120,40,295,160,233,212,60,cache_la_poudre,10,2
2474,35,8,134,48,150,219,223,139,272,cache_la_poudre,6,2
2474,243,26,150,41,404,161,250,219,120,cache_la_poudre,10,2
2475,278,23,180,89,845,151,236,222,1489,cache_la_poudre,10,2
2476,315,22,95,18,1065,156,216,198,741,cache_la_poudre,10,2
2478,80,18,60,24,752,241,205,87,437,cache_la_poudre,10,2
2478,276,24,190,92,926,147,236,225,1410,cache_la_poudre,10,2
2478,329,10,108,15,30,196,228,172,309,cache_la_poudre,6,2
2479,104,20,124,51,849,249,211,82,534,cache_la_poudre,10,2
2480,291,14,42,10,659,180,237,197,514,cache_la_poudre,10,2
2481,104,14,67,23,741,242,222,107,430,cache_la_poudre,10,2
2482,345,24,255,113,816,165,194,163,1482,cache_la_poudre,10,2
2484,285,25,120,57,1340,142,230,224,825,cache_la_poudre,10,2
2484,287,23,210,98,832,151,232,218,1503,cache_la_poudre,10,2
2484,338,15,120,34,240,186,217,170,212,cache_la_poudre,10,2
2485,274,24,120,51,1323,149,238,225,854,cache_la_poudre,10,2
2486,42,7,90,23,0,222,224,137,382,cache_la_poudre,6,2
2487,73,11,0,0,638,233,218,115,1087,cache_la_poudre,10,2
2488,286,26,150,61,1348,138,228,225,759,cache_la_poudre,10,2
2489,79,12,42,6,443,236,217,110,391,cache_la_poudre,10,2
2490,352,14,124,21,134,195,215,157,418,cache_la_poudre,10,2
2491,277,11,30,-3,1120,190,242,191,959,cache_la_poudre,6,2
2492,316,20,95,29,757,163,219,194,600,cache_la_poudre,10,2
2493,64,8,0,0,277,228,224,129,553,cache_la_poudre,10,2
2493,129,19,124,33,685,247,226,99,371,cache_la_poudre,10,2
2495,62,10,30,7,335,229,218,121,467,cache_la_poudre,10,2
2497,306,15,150,28,162,177,230,193,400,cache_la_poudre,10,2
2499,344,12,134,40,240,196,222,164,272,cache_la_poudre,10,2
2500,278,24,242,114,926,149,236,223,1409,cache_la_poudre,10,2
2501,70,12,60,16,323,233,215,112,446,cache_la_poudre,10,2
