elevation,aspect,slope,horizontal_distance_to_hydrology,vertical_distance_to_hydrology,horizontal_distance_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,horizontal_distance_to_fire_points,wilderness_area,soil_type,cover_type
2144,342,13,0,0,285,192,219,166,541,cache_la_poudre,10,2
2147,348,13,30,3,268,194,217,161,551,cache_la_poudre,10,2
2156,352,19,60,7,270,183,203,155,537,cache_la_poudre,10,2
2158,326,22,42,14,323,162,210,186,499,cache_la_poudre,10,2
2169,1,22,85,23,270,184,194,143,524,cache_la_poudre,10,2
2170,358,23,60,16,240,177,190,145,552,cache_la_poudre,10,2
2175,328,16,85,31,360,179,219,179,458,cache_la_poudre,10,2
2175,335,23,30,10,182,163,203,176,598,cache_la_poudre,10,2
2180,293,11,108,37,360,190,238,188,443,cache_la_poudre,10,2
2181,341,25,30,8,162,160,195,169,618,cache_la_poudre,10,2
2182,347,23,42,17,212,169,195,160,569,cache_la_poudre,10,2
2186,339,21,162,37,365,171,205,171,418,cache_la_poudre,10,2
2195,352,23,67,30,218,173,193,153,560,cache_la_poudre,10,2
2199,301,23,170,55,421,151,223,210,376,cache_la_poudre,10,2
2199,328,24,150,59,450,155,204,185,366,cache_la_poudre,10,2
2204,2,22,108,39,256,184,193,141,524,cache_la_poudre,10,2
2216,20,22,150,51,295,199,188,118,488,cache_la_poudre,10,2
2222,1,11,212,82,514,204,219,152,283,cache_la_poudre,10,2
2222,352,27,95,39,210,162,182,151,577,cache_la_poudre,10,2
2227,336,26,30,8,108,152,194,175,721,cache_la_poudre,10,2
2236,313,33,42,25,134,116,195,209,660,cache_la_poudre,10,2
2236,359,25,120,56,210,174,185,142,573,cache_la_poudre,10,2
2238,7,27,212,69,331,177,175,126,451,cache_la_poudre,10,2
2238,356,25,255,73,391,172,188,147,391,cache_la_poudre,10,2
2239,356,22,277,83,421,180,195,149,361,cache_la_poudre,10,2
2244,343,21,309,98,481,172,202,166,301,cache_la_poudre,10,2
2245,5,24,150,65,242,182,186,134,541,cache_la_poudre,10,2
2248,348,19,30,3,90,181,205,160,962,cache_la_poudre,10,2
2250,11,15,30,0,90,202,208,140,992,cache_la_poudre,17,2
2250,320,30,67,43,162,131,197,198,630,cache_la_poudre,10,2
2252,328,29,67,33,150,137,191,187,693,cache_la_poudre,10,2
2252,355,19,331,108,541,186,204,153,242,cache_la_poudre,10,2
2259,1,26,153,70,247,174,182,138,540,cache_la_poudre,10,2
2259,338,25,95,60,190,158,196,172,600,cache_la_poudre,10,2
2260,4,28,182,80,277,172,174,130,510,cache_la_poudre,10,2
2261,1,22,42,10,120,182,192,143,994,cache_la_poudre,10,2
2264,38,33,90,20,150,200,150,0,878,cache_la_poudre,10,2
2266,7,27,277,93,371,177,176,127,421,cache_la_poudre,10,2
2266,349,25,339,101,459,165,189,156,331,cache_la_poudre,10,2
2274,0,20,391,128,547,186,198,146,242,cache_la_poudre,10,2
2276,337,17,42,8,150,181,215,171,1082,cache_la_poudre,10,2
2280,320,26,67,13,170,146,206,196,1103,cache_la_poudre,10,2
2281,326,21,127,70,216,164,211,185,603,cache_la_poudre,10,2
2283,311,19,127,67,212,167,224,196,636,cache_la_poudre,10,2
2284,11,15,417,130,553,202,208,140,247,cache_la_poudre,10,2
2286,350,35,120,42,180,138,161,147,853,cache_la_poudre,10,2
2289,355,9,404,124,503,206,224,157,313,cache_la_poudre,2,2
2290,11,24,85,34,180,187,184,126,1031,cache_la_poudre,10,2
2291,43,10,390,118,485,222,217,129,351,cache_la_poudre,2,2
2291,315,29,85,23,190,130,202,205,1082,cache_la_poudre,10,2
2293,14,21,323,110,418,196,193,128,400,cache_la_poudre,10,2
2293,354,29,134,52,182,158,175,145,794,cache_la_poudre,10,2
2296,12,21,124,40,210,194,193,130,1006,cache_la_poudre,10,2
2296,17,22,295,116,390,195,187,121,430,cache_la_poudre,10,2
2299,38,15,362,116,457,218,205,118,379,cache_la_poudre,2,2
2302,16,23,108,43,210,193,184,121,1036,cache_la_poudre,10,2
2302,336,20,190,58,258,172,209,174,684,cache_la_poudre,10,2
2303,311,31,108,34,201,121,201,212,1062,cache_la_poudre,10,2
2304,298,21,192,89,277,155,227,210,582,cache_la_poudre,2,2
2304,333,23,192,97,283,162,204,178,547,cache_la_poudre,2,2
2305,347,17,201,68,277,185,210,161,655,cache_la_poudre,10,2
2307,327,18,90,19,175,172,216,182,912,cache_la_poudre,10,2
2309,5,23,162,64,212,183,188,135,800,cache_la_poudre,10,2
2309,317,32,108,42,212,122,194,204,1100,cache_la_poudre,10,2
2309,357,28,153,65,210,166,178,141,830,cache_la_poudre,2,2
2310,288,12,234,91,319,186,239,192,598,cache_la_poudre,2,2
2314,42,13,240,69,285,222,212,123,759,cache_la_poudre,2,2
2314,329,13,182,-10,90,189,225,175,722,cache_la_poudre,10,2
2314,336,3,258,85,339,213,235,160,607,cache_la_poudre,2,2
2315,37,17,201,70,247,217,201,114,779,cache_la_poudre,2,2
2315,315,20,212,104,300,163,219,195,553,cache_la_poudre,2,2
2319,324,22,108,35,212,158,210,188,957,cache_la_poudre,10,2
2321,282,15,234,106,319,176,240,202,560,cache_la_poudre,2,2
2322,314,20,201,66,270,161,219,196,960,cache_la_poudre,10,2
2324,61,14,256,79,306,231,209,107,797,cache_la_poudre,2,2
2324,342,17,180,72,240,184,213,167,924,cache_la_poudre,10,2
2325,303,34,134,50,234,107,201,223,1022,cache_la_poudre,10,2
2326,41,15,218,81,272,221,205,116,816,cache_la_poudre,2,2
2329,309,13,247,-4,108,183,231,188,708,cache_la_poudre,2,2
2329,321,22,134,44,234,157,212,192,937,cache_la_poudre,10,2
2331,55,16,247,80,301,228,205,106,825,cache_la_poudre,2,2
2331,348,26,150,64,255,162,189,158,1077,cache_la_poudre,10,2
2336,12,18,210,85,270,199,200,134,874,cache_la_poudre,2,2
2336,348,18,210,84,270,184,208,161,902,cache_la_poudre,2,2
2338,46,16,242,87,300,223,204,110,854,cache_la_poudre,2,2
2339,308,12,268,80,330,188,232,185,949,cache_la_poudre,2,2
2342,286,12,313,-3,120,186,240,194,700,cache_la_poudre,2,2
2344,24,13,240,92,300,212,212,134,882,cache_la_poudre,2,2
2344,329,12,240,86,300,190,225,174,911,cache_la_poudre,2,2
2346,301,23,228,44,210,149,223,211,816,cache_la_poudre,10,2
2347,228,6,0,0,404,212,245,171,1034,cache_la_poudre,16,2
2349,26,6,0,0,424,217,227,146,1063,cache_la_poudre,16,2
2351,15,8,300,95,360,213,223,147,902,cache_la_poudre,2,2
2355,349,24,190,86,283,167,191,157,1068,cache_la_poudre,10,2
2356,285,21,283,41,190,155,234,216,782,cache_la_poudre,10,2
2358,301,26,242,62,240,138,218,215,841,cache_la_poudre,10,2
2359,28,6,30,-1,552,218,228,146,1292,cache_la_poudre,16,2
2359,56,12,360,94,420,228,215,118,926,cache_la_poudre,10,2
2359,354,20,0,0,558,183,202,153,1259,cache_la_poudre,16,2
2359,358,17,0,0,633,193,207,150,1282,cache_la_poudre,16,2
2361,27,26,309,94,390,199,174,99,997,cache_la_poudre,10,2
2361,189,12,0,0,509,220,249,160,1276,cache_la_poudre,16,2
2366,17,25,30,9,509,191,179,115,1179,cache_la_poudre,10,2
2370,332,19,30,6,582,173,213,177,1400,cache_la_poudre,10,2
2370,353,6,0,0,564,210,230,158,1345,cache_la_poudre,16,2
2371,300,18,0,0,553,166,229,202,1371,cache_la_poudre,10,2
2374,346,12,30,-2,577,197,221,162,1350,cache_la_poudre,16,2
2375,27,26,60,18,509,200,176,101,1158,cache_la_poudre,10,2
2376,33,28,335,108,420,202,167,86,1008,cache_la_poudre,10,2
2377,26,28,268,108,366,194,168,96,1053,cache_la_poudre,10,2
2379,41,23,85,30,509,216,184,92,1138,cache_la_poudre,10,2
2379,338,23,30,13,592,164,201,172,1401,cache_la_poudre,10,2
2381,279,7,0,0,649,200,241,181,1399,cache_la_poudre,16,2
2384,330,25,30,14,604,153,201,182,1387,cache_la_poudre,10,2
