elevation,aspect,slope,horizontal_distance_to_hydrology,vertical_distance_to_hydrology,horizontal_distance_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,horizontal_distance_to_fire_points,wilderness_area,soil_type,cover_type
2525,62,4,30,-1,2135,223,232,145,2106,comanche_peak,17,1
2528,66,8,95,4,2440,229,224,128,2379,comanche_peak,10,1
2540,21,7,175,16,2481,216,226,147,2452,comanche_peak,11,1
2541,281,13,30,-21,2230,183,241,197,2318,comanche_peak,11,1
2545,48,15,242,14,2590,224,206,113,2576,comanche_peak,11,1
2545,93,12,201,14,2634,239,222,111,2590,comanche_peak,10,1
2554,61,11,0,0,2154,229,218,121,2212,comanche_peak,10,1
2555,108,10,0,0,2279,238,228,120,2395,comanche_peak,11,1
2557,29,10,30,-1,2270,217,219,137,2419,comanche_peak,11,1
2559,33,20,30,1,1209,212,192,108,726,comanche_peak,20,1
2562,67,13,0,0,2300,233,213,110,2446,comanche_peak,11,1
2565,50,12,283,34,2678,225,213,120,2663,comanche_peak,11,1
2570,291,20,0,0,1214,160,232,211,1090,comanche_peak,28,1
2575,110,7,240,5,2779,233,232,132,2650,comanche_peak,17,1
2579,106,8,240,9,2809,233,231,130,2658,comanche_peak,17,1
2581,59,14,362,11,2703,230,210,110,2770,comanche_peak,11,1
2582,113,7,42,2,3017,233,233,132,2479,comanche_peak,11,1
2587,84,5,90,-18,3066,227,231,139,2529,comanche_peak,11,1
2587,93,10,335,17,2906,236,225,120,2780,comanche_peak,11,1
2588,45,11,430,-9,2767,223,216,126,2819,comanche_peak,11,1
2589,109,9,306,19,2912,236,230,124,2751,comanche_peak,11,1
2594,111,7,218,24,2932,233,232,131,2666,comanche_peak,11,1
2595,81,14,371,25,2930,238,215,106,2818,comanche_peak,11,1
2598,20,6,120,-27,3202,216,228,149,2617,comanche_peak,11,1
2602,21,8,180,-23,3129,215,223,145,2647,comanche_peak,11,1
2603,32,14,0,0,774,216,208,125,1570,comanche_peak,33,1
2608,116,16,0,0,1415,246,223,100,977,comanche_peak,20,1
2609,210,4,0,0,2108,217,243,163,1200,comanche_peak,17,1
2610,28,8,240,-8,3114,217,223,141,2702,comanche_peak,11,1
2610,146,14,0,0,3207,239,237,124,2496,comanche_peak,20,1
2610,198,18,30,2,2089,211,253,170,1282,comanche_peak,17,1
2611,23,11,30,-2,824,214,217,138,1630,comanche_peak,33,1
2611,204,8,0,0,2096,216,248,167,1224,comanche_peak,17,1
2612,17,7,240,-11,3173,214,225,147,2726,comanche_peak,11,1
2616,20,10,30,5,2175,214,220,142,1140,comanche_peak,10,1
2617,69,16,446,47,2979,235,207,99,2894,comanche_peak,11,1
2619,43,16,0,0,2430,221,203,112,2305,comanche_peak,24,1
2621,176,16,30,6,2040,227,247,147,1064,comanche_peak,17,1
2622,16,8,67,5,3384,213,223,146,2792,comanche_peak,11,1
2623,189,3,0,0,2010,219,241,158,983,comanche_peak,17,1
2624,33,8,446,-52,2858,219,223,140,2657,comanche_peak,10,1
2624,42,7,170,9,3283,221,225,139,2804,comanche_peak,11,1
2626,24,20,0,0,2430,205,193,118,2277,comanche_peak,24,1
2628,24,9,319,16,3148,216,222,142,2836,comanche_peak,11,1
2628,168,17,0,0,3379,231,244,139,2579,comanche_peak,20,1
2633,45,15,560,63,2962,223,206,114,2831,comanche_peak,10,1
2633,58,14,551,27,2929,229,211,112,2791,comanche_peak,10,1
